	gene_name	gene_id
252	DTX30	AT5G38030
253	AtRLP20	AT2G25440
254	SDR3B	AT2G47140
255	RBOHC	AT5G51060
256	NRT2.5	AT1G12940
257	AT4G19970	AT4G19970
258	CYCA1-2	AT1G77390
259	AT1G72950	AT1G72950
260	ATEXO70G2	AT1G51640
261	PEP2	AT5G64890
262	PPI2	AT3G15340
263	SCPL14	AT3G12230
264	AT5G66600	AT5G66600
265	DIR21	AT1G65870
266	CLE13	AT1G73965
267	GLR2.5	AT5G11210
268	AT1G68390	AT1G68390
269	CAX4	AT5G01490
270	AT5G38350	AT5G38350
271	BGLU31	AT5G24540
272	E2FC	AT1G47870
273	EIL3	AT1G73730
274	ACS10	AT1G62960
275	ACS11	AT4G08040
